project,year,grants
FSC/03 FSC Support Officer Deployment,2015,529812
FSC/04 FSC Support Officer Deployment,2013,277142.74
FSC/04 FSC Support Officer Deployment 2013,2013,7966.15
FSC/Copernicus,2017,11654
FSC/Copernicus Eurosur Fusion Services Baltic Exercise,2017,56039
FSC/GA FSC FIMO Deployment,2018,1854152
FSC/GA FSC FIMO Deployment,2019,1626011
FSC/GA FSC FIMO Deployment,2020,1522293.52
FSC/GA FSC FIMO Deployment/Mas plane,2020,89725
FSC/GA FSC information Exchange Deployment,2020,48891
Financial Support Cat.2,2020,9194344
Flexible Operational Activity LAND (FOA - LAND),2021,19073.82
Frontex EUROSUR/Copernicus Fusion Services (EFS),2019,64919.78
Frontex EUROSUR/Copernicus Fusion Services (EFS),2020,47684
Heavy Technical equipment-RAPID Border intervention,2021,1184760
Implementation of the Extended Basic Training Programme for European Standing Corps Category 1,2022,6877162
JO Albania Sea 2022,2022,7225.71
JO FP Air 2022,2022,15817.81
JO Focal Points Air 2021,2021,8670.21
JO Focal Points Air 2022,2022,6319.42
JO Focal Points Land,2021,9192.37
"JO Focal Points Land, Air; FOA Land",2021,50691.25
JO Macedonia 2022,2022,138285
JO Serbia Land 2021,2021,30028.48
JO Serbia Land 2022,2022,62582.16
JO Terra 2022,2022,38028.87
JRO to Kosovo,2014,40641.9
Joint Operation Flexible Operational Activities,2021,37692.89
Joint Operation Flexible Operational Activities Western Balkans in Albania,2021,593901
Joint Operation Flexible Operational Activities Western Balkans in Albania,2022,596717.49
Joint Operation Flexible Operational Activities Western Balkans in Albania 2021,2021,593901
Joint Operation Flexible Operational Activities Western Balkans in Albania 2022,2022,701704.5
Joint Operation Serbia Land 2021,2021,345249.42
Joint Operation Serbia Land 2022,2022,353410.3
Joint Operations Albania Sea 2022,2022,13090.38
Joint Operations Focal Points AIR 2021 (JO FP - AIR),2021,33618.33
Joint Operations Focal Points AIR 2021 (JO FP - AIR) and Multipurpose Operational Activities LAND 2021 (MOA - LAND),2021,14426.66
Joint Operations Focal Points AIR 2022,2022,26447.19
Joint Operations Focal Points AIR 2022 (JO FP - AIR),2022,5336.09
Joint Operations Focal Points Air 2021 (JO FP AIR),2021,35425.56
Joint Operations Focal Points Air 2022,2022,107984.4
Joint Operations Focal Points Land 2021,2021,7335.92
Joint Operations Focal Points Land 2021 (JO FP Land) and Joint Operations Focal Points Air 2021 (JO FP Air),2021,36786.6
Joint Operations Moldova 2022,2022,587992.48
LBS/01 FOA,2016,9632968
LBS/01 FOA,2017,11984053
LBS/01 Flexible Operational Activities,2015,5095969
LBS/01 JO Focal Points 2011 Land,2011,2986005.77
LBS/01 JO Jupiter,2012,193037.54
LBS/01 JO Jupiter 2013,2013,150350.92
LBS/02 Flexible Operational Activities,2014,561890.1
LBS/02 Focal Points,2015,3011777
LBS/02 Focal Points,2017,3183873
LBS/02 JO Focal Points,2016,4046108
LBS/02 JO Neptune 2012,2012,126284.81
LBS/02 JO Neptune 2013,2013,165919.02
LBS/02 JO Poseidon Land 2011,2011,6829548.82
LBS/02 JO Poseidon Land 2011,2012,830212.1
LBS/02 and 2011/ROS/05,2011,44602.58
LBS/02 jO Poseidon Land 2011,2011,98543.2
LBS/03 Coordination Points,2015,310760
LBS/03 Coordination Points,2017,738575
LBS/03 Flexible Operational Activities,2014,133528.93
LBS/03 JO Coordination Points 2016,2016,493742
LBS/03 JO Eurocup 2012,2012,548425.05
LBS/03 PP Coordination Points,2011,29150.370000000003
LBS/04 FOA on Border Checks,2016,23660
LBS/04 Focal Points Land,2014,3374213.58
LBS/04 JO Focal Points 2012,2012,2725030.2
LBS/04 JO Focal Points 2012,2013,131620.16999999998
LBS/04 JO Focal Points 2013 Land,2013,3121656.72
LBS/04 JO Focal Points 2013 Land,2014,48117.47
LBS/05 Coordination Points,2012,54231.34
LBS/05 Coordination Points,2013,190678.01
LBS/05 Coordination Points,2014,216155.17
LBS/06 JO Neptune Phase I,2011,169274.62
LBS/06 JO Poseidon Land,2013,3344360.27
LBS/06 JO Poseidon Land,2014,6578.36
LBS/06 JO Poseidon Land 2012,2012,7221853.56
LBS/06 JO Poseidon Land 2012,2013,11316.96
LBS/06 Poseidon Land,2014,2640200.41
LBS/07 JO Jupiter 2011-Phase I,2011,402831.55
MMO Black Sea 2022,2022,8822
"MOA Air, MOA Land",2021,53268
MOA Black Sea 2022,2022,1104204
MOA Montenegro 2021,2021,8844.62
Maritime Operational Activities in  Montenegro 2021,2021,14507.06
Maritime Operational Activities in Montenegro 2021,2021,81308.23
Maritime Operational Activities in Montenegro 2022,2022,87484.27
Multipurpose Operational Activities AIR (MOA - AIR),2021,104157.01000000001
Multipurpose Operational Activities LAND (MOA - LAND),2021,17947.11
Multipurpose Operational Activities LAND (MOA - LAND) and Multipurpose Operational Activities AIR (MOA - AIR),2021,90132.51999999999
Multipurpose Operational Activities LAND 2021 (MOA - LAND),2021,48902.38
OPS/005 Hera,2008,8203939.29
OPS/01 EPN-Indalo 2011,2011,26861.76
OPS/01/Longstop,2008,118983.75
OPS/011 Hermes,2008,1240014.11
OPS/02/Ariadne 2008,2008,39211.11
OPS/03 -Jupiter,2009,902388.43
OPS/03 Atlas I,2008,107434.81999999999
OPS/03 Atlas II,2008,133485.06
OPS/03 Atlas III,2008,119299.88
OPS/04 - Focal Points 2009,2009,1996720.1
OPS/04 Nautilus,2008,7084281.09
OPS/05 - Neptune,2009,1060180.13
OPS/05 Hera 2008,2008,2148502.96
OPS/05 JO Hubble 2010,2010,215757.91
OPS/06 - Uranus,2009,382194.49
OPS/06 JO Meteor,2010,47834.17
OPS/06-Gordius,2008,102197.69
OPS/06-Gordius 2nd phase,2008,122366.3
OPS/07 - Poseidon 2008,2009,55013.9
OPS/07 Poseidon,2008,6062878.63
OPS/07 Poseidon 2008,2008,902965.4
OPS/07- Poseidon 2008,2008,8318.61
OPS/08/Zarathustra,2008,141410.79
OPS/09 - Saturn,2009,1323306.08
OPS/09 Air Border Focal Points 2010,2010,829437.57
OPS/10 - EPN Indalo 2009,2009,3306483.93
OPS/10 - EPN-Alpha,2009,23712.760000000002
OPS/10 - EPN-Focal Points 2009,2009,208007.22
OPS/10 - EPN-Hera 2009,2009,7905523.97
OPS/10 - EPN-Hermes 2009,2009,2011494.1
OPS/10 - EPN-Minerva 2009,2009,198121.26
OPS/10 - EPN-Nautilus 2009,2009,3861353.92
OPS/10 EPN-Hera 2010,2010,9834670.83
OPS/10 EPN-Hermes 2010,2010,3547915.3600000003
OPS/10 EPN-Hermes Extension,2011,3031622.22
OPS/10 EPN-Indalo 2010,2010,3771486.69
OPS/10 EPN-Minerva 2010,2010,359067.96
OPS/11 EPN-Euxine,2008,808487.5
OPS/11 EPN-Indalo 2008,2008,1417294.54
OPS/11 URSUS IV,2008,3687.65
OPS/12/Focal Points 2008,2008,516791.7
OPS/13/Heracles,2008,152059.28
OPS/14/LYNX,2008,71760.03
OPS/15 JRO to Nigeria,2010,388573.5
OPS/16 JO DRIVE IN 2008,2008,48431.520000000004
OPS/17 - Poseidon 2009,2009,12110297.12
OPS/17 JO Poseidon 2010 Sea,2010,14442376.18
OPS/17 JO Poseidon 2010 Sea,2011,6796.26
OPS/18 - Zeus 2009,2009,265710.43
OPS/18 Attica 2010,2010,936184.4299999999
OPS/18 Attica 2010,2011,142260.97
OPS/18 Zorba,2008,124381.94
OPS/19 JO Jupiter 2010 I phase,2010,276271.28
OPS/19 JO Jupiter 2010 II phase,2010,438139.58
OPS/19 JO Jupiter 2010 III phase,2010,146679.9
OPS/19 JO Jupiter 2010 IV Phase,2010,17493.35
OPS/19 JO Jupiter 2010 IV phase,2010,180405.84
OPS/20 - Mekong,2009,43619.280000000006
OPS/20 JO Neptune 2010 Phase I,2010,266495.15
OPS/20 JO Neptune 2010 Phase II,2010,351052.64999999997
OPS/20 JO Neptune 2010 Phase III,2010,249624.3
OPS/21 - Hammer 2009,2009,1344404.07
OPS/21 Focal Points 2010 Land,2011,1362.2
OPS/21 JO Focal Points Land 2010,2010,2098377.0100000002
OPS/21 KRAS,2008,275301.97000000003
OPS/22 - Hubble,2009,434500
OPS/22 JO Poseidon 2010 December,2011,130597.5
OPS/22 JO Poseidon Land 2010 Phase I,2010,334885.99
OPS/22 JO Poseidon Land 2010 Phase II,2010,1403479.27
OPS/22 JO Poseidon Land 2010 Phase II - Extension,2010,187867.08000000002
OPS/22 JO Poseidon Land 2010 Phase III,2010,367775.42
OPS/22 JO Poseidon Land 2010 Phase III-Extension,2010,161631.1
OPS/22 Silence 2008,2008,70287.11
OPS/22- Extended Family,2008,6907.92
OPS/23 - Air Border Focal Points 2009,2009,483689.62
OPS/23 Eurocup 2008,2008,356448.02
OPS/24 Joint Return Operation to Kosovo and Albania on 16 February 2010,2010,79227.02
OPS/25 Eurocup,2008,833826.95
OPS/25 Joint Return Operation to Georgia on 17 February 2010,2010,280120.22
OPS/26 JRO to Nigeria and Gambia on 3 March 2010,2010,395240.6
OPS/27 - Hammer 2008,2009,433340.65
OPS/27 Hammer,2008,1068869.72
OPS/27 Hammer 2008,2008,470939.88
OPS/27 JRO to Iraq on 24.02.2010,2010,178385.23
OPS/28 JRO to Nigeria on 18.03.2010,2010,305533.85
OPS/28 Minerva,2008,183122.18
OPS/29 JRO to Nigeria on 10.03.2010,2010,333315.73
OPS/30 JO MARS-UNITY 2010,2010,43904.58
OPS/31 JRO to Kosovo and Albania on 16 March 2010,2010,76907.15000000001
OPS/32 - JRO - MNG,2009,181802.16999999998
OPS/32 Focal Points,2008,82147.91
OPS/32 Focal Points 2008,2008,36008.25
OPS/32 JOR to Georgia and Armenia on 30 March 2010,2010,172470.88999999998
OPS/32 Joint Focal Points,2008,7594.4
OPS/33 - JRO - KOS & ALB,2009,183595.59999999998
OPS/33 JRO to Georgia,2010,88070.5
OPS/35 - AT - JRO-GEO,2009,54215
OPS/35 JRO-PAK,2008,609885
OPS/36 JRO-NGA-GMB,2008,569535.03
OPS/37 - JRO-NGA,2009,297978.16000000003
