country,year,grants
Netherlands,2014,2491384.84
Netherlands,2015,3676046
Netherlands,2017,11427576
Netherlands,2018,10033100.97
Netherlands,2019,12999588
Netherlands,2020,6989489.82
Netherlands,2021,5198414.44
Netherlands,2022,5444743.74
Nigeria,2015,5425
Nigerian Immigration Service,2016,15349
North Macedonia,2019,76360.24
Norway,2008,25284.11
Norway,2009,253897.05000000002
Norway,2010,617772.44
Norway,2011,1119220.23
Norway,2012,852484.2899999999
Norway,2013,386437.81
Norway,2014,790982.43
Norway,2015,7661327
Norway,2017,9119602
Norway,2018,1976893.4
Norway,2019,1821452.84
Norway,2020,1167873.08
Norway,2021,1477956.19
Norway,2022,2785255.61
Office of Immigration and Nationality,2016,173270
Office of the National Commissioner of the Icelandic Police,2016,917697
Pakistan,2022,303960
Patrol Police Department,2016,34986
Poland,2008,266495.14
Poland,2009,1403079.97
Poland,2010,1563228.9
Poland,2011,1821012.85
Poland,2012,1390204.26
Poland,2013,660345.45
Poland,2014,790813.8200000001
Poland,2015,1199117
Poland,2017,3220851
Poland,2018,3576339
Poland,2019,3868844.46
Poland,2020,6075667.07
Poland,2021,6266630.21
Poland,2022,6571682.53
Police and Border Guard Board,2016,1622516
Police of the Czech Republic,2016,1667094
Portugal,2008,1082612.56
Portugal,2009,1130456.08
Portugal,2010,858252.02
Portugal,2011,4642636.97
Portugal,2012,2940458.02
Portugal,2013,3349005.12
Portugal,2014,3922914.31
Portugal,2015,5077940
Portugal,2017,10170318
Portugal,2018,12585232.09
Portugal,2019,11067456.08
Portugal,2020,7324938.9
Portugal,2021,8746608.45
Portugal,2022,13196658.39
Portuguese Navy,2016,125588
Prefecture de Police,2016,892314
Repatriation and Departure Service,2016,587949
Republic of N.Macedonia,2021,60824.17
Republic of N.Macedonia,2022,15817.81
Romania,2008,1011933.89
Romania,2009,597880.12
Romania,2010,1611465.46
Romania,2011,3766786.86
Romania,2012,3417452.71
Romania,2013,1828859.74
Romania,2014,2522735.69
Romania,2015,2446476
Romania,2017,6675738
Romania,2018,3907556.6
Romania,2019,4411339.3
Romania,2020,5632642.59
Romania,2021,8753260.6
Romania,2022,8751453.29
Serbia,2009,34023.2
Serbia,2010,72538.56999999999
Serbia,2011,134585.96
Serbia,2012,8208.369999999999
Serbia,2013,18199.68
Serbia,2014,11089.48
Serbia,2015,151062
Serbia,2017,100074
Serbia,2018,99856.68
Serbia,2019,90547.68000000001
Serbia,2020,12504.13
Serbia,2021,375277.89999999997
Serbia,2022,415992.46
Servico de Estrangeiros e Fronteiras,2016,10198108
Slovak Republic,2018,1014024
Slovak Republic,2019,727940
Slovak Republic,2020,751552
Slovak republic,2020,313804
Slovakia,2008,128405.42
Slovakia,2009,649889.4
Slovakia,2010,579725.46
Slovakia,2011,382619.49
Slovakia,2012,294633.13
Slovakia,2013,227119.55
Slovakia,2014,208932.49
Slovakia,2015,388481
Slovakia,2017,628028
Slovakia,2021,1076889.42
Slovakia,2022,2011838.7
Slovenia,2008,88033.97
Slovenia,2009,150839.01
Slovenia,2010,259782.39
Slovenia,2011,240899.16
Slovenia,2012,292282.83
Slovenia,2013,223811.47
Slovenia,2014,279696.3
Slovenia,2015,319802
Slovenia,2017,389349
Slovenia,2018,515100
Slovenia,2019,485959
Slovenia,2020,867733
Slovenia,2021,1396748.53
Slovenia,2022,2341283.11
Spain,2008,8325306.07
Spain,2009,8432733.87
Spain,2010,7171861.81
Spain,2011,8985054.42
Spain,2012,6257261.68
Spain,2013,6324915.08
Spain,2014,7888263.8
Spain,2015,6881003
Spain,2017,12258185
Spain,2018,12682895
Spain,2019,11044921.06
Spain,2020,9945759.26
Spain,2021,16789813.82
Spain,2022,18672893.97
State Border Committee,2016,46229
State Border Guard,2016,5737043
State Border Guard Service,2016,1990657
Sudurnes Police District,2016,8653
Sweden,2008,250948.69
Sweden,2009,1415849.16
Sweden,2010,1906240.9100000001
Sweden,2011,1223754.91
Sweden,2012,1148093.87
Sweden,2013,806784.0499999999
Sweden,2014,1765270.16
Sweden,2015,4884972
Sweden,2017,9017085
Sweden,2018,4108945.19
Sweden,2019,7423487
Sweden,2020,4544595.93
Sweden,2021,9078644.59
Sweden,2022,6661757.4
Swiss Border Guard,2016,1912794
Switzerland,2008,110000.54000000001
Switzerland,2011,331742.74
Switzerland,2012,288942.87
Switzerland,2013,265032.88
Switzerland,2014,401024.58
Switzerland,2015,541095
Switzerland,2017,1806933
Switzerland,2018,2420087.5
Switzerland,2019,1538590.5
Switzerland,2020,422931.97
Switzerland,2021,1737617.42
Switzerland,2022,2012522.02
The Netherlands,2008,736688.23
Turkey,2008,83525.5
Turkey,2011,5710.24
Turkey,2013,12198
Turkey,2014,12928.3
Turkey,2015,26896
Turkey,2018,13401.75
Turkey,2019,30757.15
Turkish National Police,2016,16937
UK,2008,347616.34
Ukraine,2008,48223.21
Ukraine,2009,41563.92
Ukraine,2010,90560.31
Ukraine,2011,42196.479999999996
Ukraine,2012,99833.83
Ukraine,2013,29583.18
Ukraine,2014,16399.89
Ukraine,2015,32309
Ukraine,2017,192506
Ukraine,2018,167476.02
Ukraine,2019,161983.02
Ukraine,2021,146768.69
Ukraine,2022,38028.87
United Kingdom,2009,196079.63
United Kingdom,2010,1170714.32
United Kingdom,2011,565284.92
United Kingdom,2012,141675.45
United Kingdom,2013,515887.42
United Kingdom,2014,302142.65
United Kingdom,2015,388990
